"车型完整名称","评论数量","平均字数","中位数字数","最小字数","最大字数","标准差"
"岚图梦想家",1205,1147.87053941909,1117,48,2984,561.502790338805
"腾势D9",1649,1091.99636143117,991,53,2963,490.726048420504
"魏牌 高山",309,972.572815533981,896,58,2911,492.664204321406
"理想MEGA",18,962.277777777778,1092.5,214,1614,436.668646156268
"赛那SIENNA",488,828.280737704918,823,56,2214,424.092965039222
"别克GL8新能源",64,774.125,675.5,64,2818,505.779407967356
"极氪009",108,756.027777777778,611.5,62,2865,426.122233754223
"别克GL8",1582,737.314791403287,660,54,2849,448.358904556726
"小鹏X9",119,627.310924369748,572,52,1903,308.137536645272
"奥德赛",654,470.437308868502,371,30,1841,328.410592861
"艾力绅",513,463.321637426901,381,55,1656,301.376289431814
