"车型完整名称","2025","2022","2024","2023","2018","2017","2016","2021","2020","2019","2026","总计"
"腾势D9",592,157,480,391,0,0,0,0,0,0,29,1649
"别克GL8",17,536,32,138,278,183,76,137,119,65,1,1582
"岚图梦想家",532,129,381,157,0,0,0,0,0,0,6,1205
"奥德赛",8,117,22,53,57,66,180,31,41,77,2,654
"艾力绅",5,54,15,31,46,77,138,42,65,40,0,513
"赛那SIENNA",42,283,31,111,0,0,0,18,0,0,3,488
"魏牌 高山",273,0,7,21,0,0,0,0,0,0,8,309
"小鹏X9",75,0,40,1,0,0,0,0,0,0,3,119
"极氪009",15,2,68,23,0,0,0,0,0,0,0,108
"别克GL8新能源",58,0,6,0,0,0,0,0,0,0,0,64
"理想MEGA",4,0,14,0,0,0,0,0,0,0,0,18
